tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,genres,averageRating,numVotes,sortedTitle,imdb_url
tt0335119,movie,Girl with a Pearl Earring,Girl with a Pearl Earring,0,2003,\N,Biography Drama Romance,6.9,73215,Girl with a Pearl Earring (2003),https://www.imdb.com/title/tt0335119/
tt0172493,movie,"Girl, Interrupted","Girl, Interrupted",0,1999,\N,Biography Drama,7.3,167466,"Girl, Interrupted (1999)",https://www.imdb.com/title/tt0172493/
tt5706996,tvSeries,Girlboss,Girlboss,0,2017,2017,Comedy,7.0,15815,Girlboss (2017),https://www.imdb.com/title/tt5706996/
tt0210075,movie,Girlfight,Girlfight,0,2000,\N,Drama Sport,6.8,9372,Girlfight (2000),https://www.imdb.com/title/tt0210075/
tt0247102,tvSeries,Girlfriends,Girlfriends,0,2000,2008,Comedy,7.2,3849,Girlfriends (2000–2008),https://www.imdb.com/title/tt0247102/
tt2817246,tvSeries,Girlfriends' Guide to Divorce,Girlfriends' Guide to Divorce,0,2014,2018,Comedy Drama,6.9,3949,Girlfriends' Guide to Divorce (2014–2018),https://www.imdb.com/title/tt2817246/
tt3655522,movie,Girlhood,Bande de filles,0,2014,\N,Drama,6.9,8587,Girlhood (2014),https://www.imdb.com/title/tt3655522/
tt1723816,tvSeries,Girls,Girls,0,2012,2017,Comedy Drama,7.3,66106,Girls (2012–2017),https://www.imdb.com/title/tt1723816/
tt9401936,tvSeries,Girls Hostel,Girls Hostel,0,2018,\N,Comedy Drama,8.2,3296,Girls Hostel (2018– ),https://www.imdb.com/title/tt9401936/
tt8001788,tvSeries,Girls from Ipanema,Coisa Mais Linda,0,2019,\N,Drama Romance,7.9,2959,Girls from Ipanema (2019– ),https://www.imdb.com/title/tt8001788/
tt2122656,tvSeries,Giruti kuraun: Guilty Crown,Giruti kuraun: Guilty Crown,0,2011,2012,Action Animation Romance,7.1,4301,Giruti kuraun: Guilty Crown (2011–2012),https://www.imdb.com/title/tt2122656/
tt1753866,movie,Gise Memuru,Gise Memuru,0,2010,\N,Drama,6.5,3755,Gise Memuru (2010),https://www.imdb.com/title/tt1753866/
